GENDER,SERVICE_NAME,SERVICE,TYPE,PRICE,OLD PRICE,image_url
MENS,FACIAL,Silver Bright,,1300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,Biotique,,1300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,Gold Facial Nature,,1500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,Oxygen,,2000,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,Shahnas Facial Gold,,3000,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,03+Facial,,3500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
,,,,,,
MENS,OIL MASSAGE,Shahnas (Professional Oil),,300,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Almond (Root Strong),,300,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Olive Oil (Root Black Shine),,300,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Hair Wash (Only),,60,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Navaratna (Total Body Cool),,150,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Amla (Hair Fall Stoped),,200,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Gingelly Oil (Body & Eyes Cool),,200,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
,,,,,,
MENS,FACIAL,Charcoal Facial,,1500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,Anti Aginiing Facial,,1300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,Gal Vanic Facial,,2000,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,Detan Facial,,1500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,OIL MASSAGE,Coconut Oil (Hair Healthy),,200,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,All Oil Hot (Extra),,50,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Steaming,,100,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Dandruff Treatment,,500,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Rose Marry Oil (Hair Re - Growth),,500,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,OIL MASSAGE,Biotiaque Anti (Hair Fall Treatment),,500,,https://i-media.vyaparify.com/vcards/services/9537/oil-massage.jpg
MENS,BLEACH,OXY Bleach,,350,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY5OcT4kxsI0wcdOMspnCD5FJkZtyNANwaRZAZ5RdhgAI4tsBjcNasnUq8&s=10
MENS,BLEACH,Gold Bleach,,350,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY5OcT4kxsI0wcdOMspnCD5FJkZtyNANwaRZAZ5RdhgAI4tsBjcNasnUq8&s=10
MENS,BLEACH,Fruit Bleach,,300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY5OcT4kxsI0wcdOMspnCD5FJkZtyNANwaRZAZ5RdhgAI4tsBjcNasnUq8&s=10
MENS,BLEACH,Detan,,400,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY5OcT4kxsI0wcdOMspnCD5FJkZtyNANwaRZAZ5RdhgAI4tsBjcNasnUq8&s=10
MENS,BLEACH,Lacto Bleach,,300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY5OcT4kxsI0wcdOMspnCD5FJkZtyNANwaRZAZ5RdhgAI4tsBjcNasnUq8&s=10
MENS,BLEACH,Neck Bleach,,200,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY5OcT4kxsI0wcdOMspnCD5FJkZtyNANwaRZAZ5RdhgAI4tsBjcNasnUq8&s=10
MENS,CLEAN UP,Fruit Clean Up,,300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc4swP7buhOnAoga99NVZGuzi93zqmmvDj7z8_UFftBIBdmGFcfbuZtTJ1&s=10
MENS,CLEAN UP,Wine Clean Up,,500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc4swP7buhOnAoga99NVZGuzi93zqmmvDj7z8_UFftBIBdmGFcfbuZtTJ1&s=10
MENS,CLEAN UP,Papaya Clean Up,,400,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc4swP7buhOnAoga99NVZGuzi93zqmmvDj7z8_UFftBIBdmGFcfbuZtTJ1&s=10
MENS,CLEAN UP,Glow Clean Up,,600,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc4swP7buhOnAoga99NVZGuzi93zqmmvDj7z8_UFftBIBdmGFcfbuZtTJ1&s=10
MENS,CLEAN UP,Gold Clean Up,,700,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc4swP7buhOnAoga99NVZGuzi93zqmmvDj7z8_UFftBIBdmGFcfbuZtTJ1&s=10
,,,,,,
MENS,OTHER,Wats and Pimple Remove,,50 - 200,,
MENS,OTHER,Ear Punching,,100,,
MENS,PACKAGE OFFER,"Hair Cut, Shaving, Oil Massage Face Wash",,449,490,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut, Shaving, Hair Wash, Face Wash Oil Massage",,500,550,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut, Shaving, Face Pack, Oil Massage, Hair Colour",,649,730,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,PACKAGE OFFER,"Hair Cut, Shaving, Fruit Bleach Herbal, Hair Wash",,549,600,https://onesociety.co.uk/cdn/shop/articles/featured-1772002761989.jpg?v=1772002958&width=1600
MENS,,,,,,
